DUMMY_ENTITY	0
NO_OP_ENTITY	1
8524735	413
7846	390
8860123	368
8199025	337
8441203	301
11579418	275
126264	268
1507175	265
12205694	235
11585340	230
6845599	212
1342529	206
11556857	201
13112664	194
1864707	184
1762525	179
11567411	176
11911591	174
1432517	164
1759182	149
11575425	144
8633957	140
759694	137
8574314	129
1429349	127
9044862	119
6295235	116
1504437	115
8103777	114
6084469	113
8392137	105
9411430	105
586262	104
13104059	103
1835496	97
1494310	96
109660	87
1862557	82
11573660	79
1657723	78
6090869	78
6128570	78
7157273	78
12501745	75
12039743	74
6037666	74
2327200	73
4723816	73
243918	70
8766988	70
11562747	68
523513	68
6000644	68
11534677	67
1850315	66
9765278	65
2958343	64
8723006	64
15388	63
11592146	62
8691669	62
941990	62
1675963	61
8083599	60
173338	59
11590783	57
11867525	56
2553196	56
3740161	56
1831531	55
8544813	55
9189411	55
407535	54
8337324	54
13920835	53
3183080	53
7075172	53
9316454	53
11561228	52
6043075	52
7020895	52
766234	52
8929922	52
12838027	51
13167078	51
9275473	51
9403734	51
11554175	50
11571907	50
12100538	50
146138	50
5225602	50
1090446	49
12423565	49
471613	49
8655464	49
10467395	48
13518963	48
3082979	48
3051540	47
5943300	47
10599806	46
10547145	45
15113229	45
2604760	45
7809368	45
8698379	45
10650162	44
10794014	44
11669921	44
2367363	44
2554730	44
9207288	44
30358	43
9334396	43
10020890	42
394813	42
8780881	42
637259	41
6717170	41
13489037	40
1617192	40
1626600	40
1904930	40
654625	40
8900535	40
11565385	39
5946687	39
8552138	39
8801678	39
933420	39
956485	39
671351	38
7951464	38
8700255	38
8921850	38
14625458	37
1552519	37
1931768	37
2154508	37
2176268	37
5333777	37
11672400	36
11744859	36
1656813	36
1974062	36
5269901	36
5418717	36
8696931	36
978549	36
9998101	36
10123844	35
10340312	35
10787470	35
12651821	35
1659248	35
9023321	35
9360122	35
11566682	34
1502262	34
1524885	34
2913152	34
6066555	34
6479665	34
6851742	34
9141526	34
10705615	33
11778534	33
13100677	33
13109733	33
1313093	33
14662574	33
17222	33
2244956	33
6449735	33
7705931	33
9610660	33
9623038	33
9629752	33
10453533	32
10605985	32
1332730	32
1621555	32
205885	32
21939	32
2609764	32
4616059	32
6234825	32
681429	32
7283608	32
7371293	32
8102555	32
831651	32
9060768	32
968211	32
11545714	31
13118707	31
1340439	31
2210855	31
233335	31
2339413	31
2400139	31
3309808	31
331950	31
3485997	31
4194289	31
5311054	31
612160	31
7296428	31
11555413	30
13166338	30
1708676	30
1719921	30
24720	30
47945	30
6136258	30
6394865	30
6598915	30
740577	30
770437	30
8792548	30
9117351	30
9641757	30
10677713	29
1094725	29
11665781	29
13108841	29
1387786	29
1435380	29
1448100	29
2079933	29
2159271	29
235435	29
351638	29
4105893	29
543233	29
6057539	29
8107499	29
8176077	29
916464	29
9614684	29
983824	29
13526110	28
1740	28
1941093	28
358431	28
5220461	28
5833840	28
6018465	28
9815790	28
10515194	27
1090335	27
